ChannelGroup,ChannelName,SourceRow,ReferencedPart,Axis,ExpectedIndex,ExpectedX,ExpectedY,ExpectedZ,ActualOccurrence,ActualFeature,ActualHoleIndex,ActualX,ActualY,ActualZ,DeltaX,DeltaY,DeltaZ,TotalDistance,ExpectedDiameter,ActualDiameter,MatchStatus,Confidence,Notes
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,0,9.0000,0.0000,0.7500,091-30102-458:1,CylinderFace,37,7.1053,0.9602,1.3947,-1.8947,0.9602,0.6447,2.2198,0.3120,0.0006,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,1,14.2667,0.0000,0.7500,091-30102-458:1,CylinderFace,3,17.5835,1.3850,1.4475,3.3168,1.3850,0.6975,3.6614,0.3120,0.2030,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,2,19.5333,0.0000,0.7500,091-30102-458:1,CylinderFace,4,18.4165,1.3850,1.4475,-1.1168,1.3850,0.6975,1.9110,0.3120,0.2030,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,3,24.8000,0.0000,0.7500,091-30102-458:1,CylinderFace,4,18.4165,1.3850,1.4475,-6.3835,1.3850,0.6975,6.5692,0.3120,0.2030,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,4,30.0667,0.0000,0.7500,091-30102-458:1,CylinderFace,4,18.4165,1.3850,1.4475,-11.6502,1.3850,0.6975,11.7529,0.3120,0.2030,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,5,35.3333,0.0000,0.7500,091-30102-458:1,CylinderFace,39,48.4474,0.2103,1.3947,13.1140,0.2103,0.6447,13.1315,0.3120,0.0006,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,6,40.6000,0.0000,0.7500,091-30102-458:1,CylinderFace,39,48.4474,0.2103,1.3947,7.8474,0.2103,0.6447,7.8766,0.3120,0.0006,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,7,45.8667,0.0000,0.7500,091-30102-458:1,CylinderFace,39,48.4474,0.2103,1.3947,2.5807,0.2103,0.6447,2.6683,0.3120,0.0006,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,8,51.1333,0.0000,0.7500,091-30102-458:1,CylinderFace,39,48.4474,0.2103,1.3947,-2.6860,0.2103,0.6447,2.7703,0.3120,0.0006,Missing,Confirmed,No matching physical hole found near expected coordinates.
Floor Channels,FLOOR_CHAN_1,6,091-30102-458,X,9,56.4000,0.0000,0.7500,091-30102-458:1,CylinderFace,2,54.4165,1.3850,1.4475,-1.9835,1.3850,0.6975,2.5177,0.3120,0.2030,Missing,Confirmed,No matching physical hole found near expected coordinates.
