Workbook,Worksheet,Cell,ParameterName,DisplayedValue,RawValue,Formula,DataType,Units,Comment,ValidationRule,FormulaError,NamedRange,ExternalLink
Calc_10006_023.xls,Sheet1,$B$2,TopBhdThk,0.10501,0.10501,='Excel Calcs'!H10,Number,in,Top bulkhead thickness from Data Tab,,,,No
Calc_10006_023.xls,Sheet1,$B$3,BtmBhdThk,0.10501,0.10501,='Excel Calcs'!H46,Number,in,Right bulkhead thickness from Data Tab,,,,No
Calc_10006_023.xls,Sheet1,$B$4,RhtBhdThk,0.10501,0.10501,='Excel Calcs'!E48,Number,in,Left bulkhead thickness from Data Tab,,,,No
Calc_10006_023.xls,Sheet1,$B$5,LftBhdThk,0.10501,0.10501,='Excel Calcs'!E10,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$6,LadderSupportThk,0.10501,0.10501,='Excel Calcs'!B54,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$7,Side_BH_to_Shell_Clearance,0.310,0.31,='Excel Calcs'!B4,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$8,Clearance,0.031,0.031,='Excel Calcs'!B5,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$9,Bhd_Clr_Hole,0.312,0.312,='Excel Calcs'!B10,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$10,IH,118.000,118.0,='Excel Calcs'!B106,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$11,IW,179.000,179.0,='Excel Calcs'!B107,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$12,PANELTHICKNESS,2.000,2.0,='Excel Calcs'!B108,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$13,SegStart,1.500,1.5,='Excel Calcs'!B9,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$14,MaxSheetMetalLength,142.000,142.0,='Excel Calcs'!B6,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$15,FinHeight,36.250,36.25,='Excel Calcs'!B75,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$16,EndSheet_BtmCoil_Height,37.750,37.75,='Excel Calcs'!B76,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$17,RowsDeep,8.000,8.0,='Excel Calcs'!B77,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$18,Depth,12.625,12.625,='Excel Calcs'!B78,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$19,EndSheet_Side_Hole_Y_Loc,0.500,0.5,='Excel Calcs'!B79,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$20,EndSheet_Side_Hole_X_Loc,0.375,0.375,='Excel Calcs'!B80,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$21,EndSheet_Side_Hole_Array_Qty,5.000,5.0,='Excel Calcs'!B82,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$22,EndSheet_Mtg_Hole_Qty,3.000,3.0,='Excel Calcs'!B83,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$23,EndSheet_Mtg_Hole_Distance,5.313,5.3125,='Excel Calcs'!B84,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$24,EndSheetsFlg,1.500,1.5,='Excel Calcs'!B85,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$25,EndSheet_Side_Hole_Array_Y_Loc,6.875,6.875,='Excel Calcs'!B87,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$26,EndSheetHeight,37.750,37.75,='Excel Calcs'!B88,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$27,Casing_Hole_Spacing_Y,6.000,6.0,='Excel Calcs'!B89,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$28,CasingHoleDia,0.188,0.188,='Excel Calcs'!B90,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$29,Coil_Hole_Clr_Dia,0.312,0.312,='Excel Calcs'!B29,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$30,HoleBuffer,1.000,1.0,='Excel Calcs'!B91,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$31,FinHeight_MidCoil,36.250,36.25,='Excel Calcs'!B66,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$32,EndSheet_MidCoil_Height,37.750,37.75,='Excel Calcs'!B67,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$33,EndSheet_MidCoil_Side_Hole_Array_Qty,5.000,5.0,='Excel Calcs'!B70,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$34,EndSheet_MidCoil_Side_Hole_Array_Y_Loc,6.875,6.875,='Excel Calcs'!B71,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$35,Casing_Hole_MidCoil_Spacing_Y,6.000,6.0,='Excel Calcs'!B72,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$36,FinHeight_TopCoil,36.250,36.25,='Excel Calcs'!B57,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$37,EndSheet_TopCoil_Height,37.750,37.75,='Excel Calcs'!B58,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$38,EndSheet_TopCoil_Side_Hole_Array_Qty,5.000,5.0,='Excel Calcs'!B61,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$39,EndSheet_TopCoil_Side_Hole_Array_Y_Loc,6.875,6.875,='Excel Calcs'!B62,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$40,Casing_Hole_TopCoil_Spacing_Y,6.000,6.0,='Excel Calcs'!B63,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$41,FinLength,166.000,166.0,='Excel Calcs'!B13,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$42,TopBtmChannels,0.750,0.75,='Excel Calcs'!B15,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$43,TopBtm_Flg_Height,0.750,0.75,='Excel Calcs'!B16,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$44,TopBtm_Side_Hole_Y_Loc,0.375,0.375,='Excel Calcs'!B17,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$45,TopBtm_Side_Hole_X_Loc,1.250,1.25,='Excel Calcs'!B18,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$46,TopBtm_Side_Hole_Array_Qty,27.000,27.0,='Excel Calcs'!B21,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$47,TopBtm_Side_Hole_Array_X_Loc,5.000,5.0,='Excel Calcs'!B22,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$48,Casing_Hole_Spacing_X,6.000,6.0,='Excel Calcs'!B23,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$49,CoilsHigh,3.000,3.0,='Excel Calcs'!B33,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$50,CoilsWide,1.000,1.0,='Excel Calcs'!B34,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$51,TopCoil_Workplane,77.105,77.10501,='Excel Calcs'!B30,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$52,MidCoil_Workplane,38.605,38.60501,='Excel Calcs'!B31,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$53,BottomCoil_Workplane,0.105,0.10501,='Excel Calcs'!B32,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$54,StackingRackHeightAdder,0.750,0.75,='Excel Calcs'!Q51,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$55,StackingRackCoilAdjustment,0.200,0.2,='Excel Calcs'!Q52,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$56,CoilType,1.000,1.0,='Excel Calcs'!B100,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$57,L1BHD_Width,5.690,5.69,='Excel Calcs'!E4,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$58,L1BHD_Height,117.895,117.89499,='Excel Calcs'!E5,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$59,L1BHD_Flg1Size,1.500,1.5,='Excel Calcs'!E6,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$60,L1BHD_Flg2Size,0.750,0.75,='Excel Calcs'!E7,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$61,L1BHD_Clr_Hole_Dia,0.218,0.218,='Excel Calcs'!E8,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$62,L1BHD_Eng_Hole_Dia,0.152,0.152,='Excel Calcs'!E9,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$63,L1BHD_Thk,0.105,0.10501,='Excel Calcs'!E10,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$64,L1BHD_Coil_Hole_Loc1_Y,1.250,1.25,='Excel Calcs'!E12,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$65,L1BHD_Coil_Hole_Loc2_Y,36.500,36.5,='Excel Calcs'!E13,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$66,L1BHD_Coil_Hole_Loc3_Y,36.500,36.5,='Excel Calcs'!E14,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$67,L1BHD_Coil_Hole_Loc4_Y,36.500,36.5,='Excel Calcs'!E15,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$68,L1BHD_Y_Hole1_Loc,1.895,1.89499,='Excel Calcs'!E16,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$69,L1BHD_Y_Hole1_ArrayQty,22.000,22.0,='Excel Calcs'!E17,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$70,L1BHD_Y_Hole1_ArrayDist,5.429,5.428571428571429,='Excel Calcs'!E18,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$71,L1BHD_X_Hole1_Loc,2.000,2.0,='Excel Calcs'!E19,Number,in,,,,,No
